                       No         Yes MeanDecreaseAccuracy MeanDecreaseGini
age              2.916181 117.7812947            126.71208        815.99695
workclass       67.458005  27.2146935             76.69084        266.76014
fnlwgt          13.726050   0.5755618             11.91015        566.25831
education       82.102928  96.6243220            126.61319        963.76462
marital_status  75.476360  44.6633592             74.44127        913.81883
occupation      70.493598  96.1170909            125.93797        862.54477
relationship    45.553450  66.4228965             68.89658       1010.80850
race            19.108144  20.2750338             31.00323         99.57915
sex             44.129040  10.9439606             62.22469        148.65378
capital_gain   172.812802 216.5955580            207.66669       1080.78006
capital_loss    88.886756 115.6337429            117.23932        327.79417
hours_per_week  18.625739  84.8279608             87.33325        497.17865
US_Citizen      27.569738   1.2870478             25.15558         47.64475
