                        No        Yes MeanDecreaseAccuracy MeanDecreaseGini
age             14.8266056  75.102830           62.1022416        717.74584
workclass       22.1147828   9.246472           24.4148176        200.26799
fnlwgt           0.2674303  -1.630375           -0.7930492       1077.08466
education       52.1801586 -22.076969           37.1214168         88.69148
education_num   47.3099362  36.664694           62.6590297        622.60159
marital_status  52.0637521 -28.794012           51.7774419         40.13990
occupation      16.7808373  67.493945           63.6232797        416.29929
relationship    99.5482581  72.493902          180.0471536       1194.16935
race             4.2428815   6.832870            7.7496249         69.73523
sex             30.8157534  -8.477777           27.4136057         27.63140
capital_gain   179.0774833 208.320326          239.2627692        584.22453
capital_loss    69.7204435 111.361227          117.5936812        216.17651
hours_per_week  -0.7266290  47.930195           29.0339355        428.29948
